nome,sexo,ano,mes,categoria,velocidade,pressao
Bob,M,1979,7,1,NA,986
David,M,1979,9,2,NA,970
Frederic,M,1979,9,3,NA,946
Allen,M,1980,8,3,100,945
Alicia,F,1983,8,3,100,962
Diana,F,1984,9,2,95,949
Bob,M,1985,7,1,65,1003
Danny,M,1985,8,1,80,987
Elena,F,1985,9,3,100,959
Gloria,F,1985,9,3,90,942
Juan,M,1985,10,1,75,971
Kate,F,1985,11,2,85,967
Bonnie,F,1986,6,1,75,990
Charley,M,1986,8,1,65,990
Floyd,M,1987,10,1,65,993
Florence,F,1988,9,1,70,984
Chantal,F,1989,8,1,70,986
Hugo,M,1989,9,4,120,934
Jerry,M,1989,10,1,75,983
Bob,M,1991,8,2,90,962
Andrew,M,1992,8,5,145,922
Emily,F,1993,8,3,100,961
Erin,F,1995,8,2,85,973
Opal,F,1995,10,3,100,942
Bertha,F,1996,7,2,90,974
Fran,F,1996,9,3,100,954
Danny,M,1997,7,1,70,984
Bonnie,F,1998,8,2,95,964
Earl,M,1998,9,1,70,987
Georges,M,1998,9,2,90,964
Bret,M,1999,8,3,100,951
Floyd,M,1999,9,2,90,956
Irene,F,1999,10,2,95,964
Lili,F,2002,10,1,80,963
Claudette,F,2003,7,1,80,979
Isabel,F,2003,9,2,90,957
Alex,M,2004,8,1,70,972
Charley,M,2004,8,4,130,941
Gaston,M,2004,8,1,65,985
Frances,F,2004,9,2,90,960
Ivan,M,2004,9,3,105,946
Jeanne,F,2004,9,3,105,950
Cindy,F,2005,7,1,65,991
Dennis,M,2005,7,3,105,946
Katrina,F,2005,8,3,110,920
Ophelia,F,2005,9,1,65,982
Rita,F,2005,9,3,100,937
Wilma,F,2005,10,3,105,950
Humberto,M,2007,9,1,80,985
Dolly,F,2008,7,1,75,967
Gustav,M,2008,9,2,90,954
Ike,M,2008,9,2,95,950
Irene,F,2011,8,1,75,952
Isaac,M,2012,8,1,70,966
Sandy,F,2012,10,1,65,942
Arthur,M,2014,7,2,85,973
Hermine,F,2016,9,1,70,981
Matthew,M,2016,10,2,85,963
Harvey,M,2017,8,4,115,937
Irma,F,2017,9,4,115,931
Nate,M,2017,10,1,65,983
Florence,F,2018,9,1,80,956
Michael,M,2018,10,5,140,919
Barry,M,2019,7,1,65,993
Dorian,M,2019,9,2,85,956
Hanna,F,2020,7,1,80,973
Isaias,M,2020,8,1,80,986
Laura,F,2020,8,4,130,939
Sally,F,2020,9,2,95,965
Delta,F,2020,10,2,85,970
Zeta,F,2020,10,3,100,970
Ida,F,2021,8,4,130,931
Nicholas,M,2021,9,1,65,991
